Trade(tid=7692194, price=23131.00, amount=0.17292811, maker_side=buy, created_at=2018-06-03 17:18:32+00:00)
Trade(tid=7692195, price=23131.00, amount=0.77515024, maker_side=buy, created_at=2018-06-03 17:18:32+00:00)
Trade(tid=7692196, price=23101.00, amount=0.04328817, maker_side=buy, created_at=2018-06-03 17:18:32+00:00)
Trade(tid=7692197, price=23100.00, amount=0.43290044, maker_side=buy, created_at=2018-06-03 17:18:32+00:00)
Trade(tid=7692206, price=23011.13, amount=3.56000000, maker_side=buy, created_at=2018-06-03 17:19:36+00:00)
Trade(tid=7692220, price=23011.14, amount=0.26000000, maker_side=buy, created_at=2018-06-03 17:19:51+00:00)
Trade(tid=7692227, price=23011.14, amount=0.14177110, maker_side=buy, created_at=2018-06-03 17:19:57+00:00)
Trade(tid=7692239, price=23015.00, amount=0.01111759, maker_side=buy, created_at=2018-06-03 17:20:12+00:00)
Trade(tid=7692313, price=23015.00, amount=0.07578226, maker_side=buy, created_at=2018-06-03 17:23:16+00:00)
Trade(tid=7692314, price=23011.11, amount=0.20000000, maker_side=buy, created_at=2018-06-03 17:23:16+00:00)
Trade(tid=7692315, price=23000.00, amount=0.05058740, maker_side=buy, created_at=2018-06-03 17:23:16+00:00)
Trade(tid=7692316, price=23000.00, amount=0.02422870, maker_side=buy, created_at=2018-06-03 17:23:16+00:00)
Trade(tid=7692317, price=23000.00, amount=0.52362460, maker_side=buy, created_at=2018-06-03 17:23:16+00:00)
Trade(tid=7692377, price=23499.97, amount=0.01148938, maker_side=sell, created_at=2018-06-03 17:26:51+00:00)
Trade(tid=7692381, price=23300.00, amount=0.02000000, maker_side=buy, created_at=2018-06-03 17:27:05+00:00)
Trade(tid=7692444, price=23299.97, amount=0.04721031, maker_side=sell, created_at=2018-06-03 17:31:25+00:00)
Trade(tid=7692459, price=23000.00, amount=0.00217392, maker_side=buy, created_at=2018-06-03 17:33:18+00:00)
Trade(tid=7692460, price=23000.00, amount=0.10960261, maker_side=buy, created_at=2018-06-03 17:33:18+00:00)
Trade(tid=7692461, price=22980.00, amount=0.00870323, maker_side=buy, created_at=2018-06-03 17:33:18+00:00)
Trade(tid=7692462, price=22958.19, amount=0.01622171, maker_side=buy, created_at=2018-06-03 17:33:18+00:00)
Trade(tid=7692464, price=22958.19, amount=0.03145191, maker_side=buy, created_at=2018-06-03 17:33:21+00:00)
Trade(tid=7692465, price=22958.18, amount=0.01170172, maker_side=buy, created_at=2018-06-03 17:33:21+00:00)
