Trade(tid=7688425, price=0.00008499, amount=4.57533700, maker_side=buy, created_at=2018-06-03 12:03:53+00:00)
Trade(tid=7688433, price=0.00008505, amount=2.07311200, maker_side=buy, created_at=2018-06-03 12:05:42+00:00)
Trade(tid=7688437, price=0.00008511, amount=2.89656900, maker_side=buy, created_at=2018-06-03 12:07:37+00:00)
Trade(tid=7688699, price=0.00008600, amount=264.27774418, maker_side=sell, created_at=2018-06-03 12:21:53+00:00)
Trade(tid=7688700, price=0.00008600, amount=10.00000000, maker_side=sell, created_at=2018-06-03 12:21:53+00:00)
Trade(tid=7688701, price=0.00008697, amount=17.14556744, maker_side=sell, created_at=2018-06-03 12:21:53+00:00)
Trade(tid=7688877, price=0.00008468, amount=28.72100000, maker_side=buy, created_at=2018-06-03 12:37:46+00:00)
Trade(tid=7689046, price=0.00008516, amount=2.02776700, maker_side=buy, created_at=2018-06-03 12:49:40+00:00)
Trade(tid=7689242, price=0.00008590, amount=11.87500000, maker_side=sell, created_at=2018-06-03 13:25:20+00:00)
Trade(tid=7689243, price=0.00008690, amount=0.00011507, maker_side=sell, created_at=2018-06-03 13:25:20+00:00)
Trade(tid=7689277, price=0.00008519, amount=1.21480800, maker_side=buy, created_at=2018-06-03 13:34:37+00:00)
Trade(tid=7689295, price=0.00008526, amount=2.83023600, maker_side=buy, created_at=2018-06-03 13:36:28+00:00)
Trade(tid=7689312, price=0.00008534, amount=2.82328500, maker_side=buy, created_at=2018-06-03 13:38:18+00:00)
Trade(tid=7689320, price=0.00008543, amount=4.02195300, maker_side=buy, created_at=2018-06-03 13:40:07+00:00)
Trade(tid=7689329, price=0.00008553, amount=4.00787500, maker_side=buy, created_at=2018-06-03 13:42:06+00:00)
Trade(tid=7689340, price=0.00008565, amount=4.77737500, maker_side=buy, created_at=2018-06-03 13:44:27+00:00)
Trade(tid=7689350, price=0.00008573, amount=3.16837700, maker_side=buy, created_at=2018-06-03 13:46:28+00:00)
Trade(tid=7689376, price=0.00008580, amount=2.37020300, maker_side=buy, created_at=2018-06-03 13:48:17+00:00)
Trade(tid=7689394, price=0.00008589, amount=3.94023600, maker_side=buy, created_at=2018-06-03 13:50:07+00:00)
Trade(tid=7689402, price=0.00008598, amount=3.53427600, maker_side=buy, created_at=2018-06-03 13:51:57+00:00)
Trade(tid=7689423, price=0.00008607, amount=3.52321200, maker_side=buy, created_at=2018-06-03 13:53:47+00:00)
Trade(tid=7689438, price=0.00008615, amount=3.12231200, maker_side=buy, created_at=2018-06-03 13:55:37+00:00)
Trade(tid=7689454, price=0.00008624, amount=3.50243800, maker_side=buy, created_at=2018-06-03 13:57:27+00:00)
Trade(tid=7689456, price=0.00008668, amount=1.15366900, maker_side=sell, created_at=2018-06-03 13:58:12+00:00)
Trade(tid=7689471, price=0.00008668, amount=10.38633100, maker_side=buy, created_at=2018-06-03 13:59:22+00:00)
Trade(tid=7690310, price=0.00008587, amount=25.43355000, maker_side=buy, created_at=2018-06-03 15:00:23+00:00)
Trade(tid=7690893, price=0.00008555, amount=44.13654700, maker_side=buy, created_at=2018-06-03 15:48:52+00:00)
Trade(tid=7690894, price=0.00008554, amount=174.47211100, maker_side=buy, created_at=2018-06-03 15:48:52+00:00)
Trade(tid=7690986, price=0.00008667, amount=134.66066690, maker_side=sell, created_at=2018-06-03 15:54:57+00:00)
Trade(tid=7691032, price=0.00008498, amount=67.00000000, maker_side=buy, created_at=2018-06-03 16:01:15+00:00)
Trade(tid=7691190, price=0.00008667, amount=46.15207107, maker_side=sell, created_at=2018-06-03 16:11:32+00:00)
Trade(tid=7691348, price=0.00008667, amount=178.36045403, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691349, price=0.00008667, amount=38.65980300, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691350, price=0.00008668, amount=6.61432900, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691351, price=0.00008668, amount=68.54113200, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691352, price=0.00008690, amount=999.99988493, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691353, price=0.00008698, amount=245.67299900, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691354, price=0.00008700, amount=69.43038500, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691355, price=0.00008700, amount=10.00000000, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7691356, price=0.00008789, amount=1664.89429969, maker_side=sell, created_at=2018-06-03 16:19:33+00:00)
Trade(tid=7692276, price=0.00008563, amount=106.74856900, maker_side=buy, created_at=2018-06-03 17:21:17+00:00)
Trade(tid=7692277, price=0.00008562, amount=10.00000000, maker_side=buy, created_at=2018-06-03 17:21:17+00:00)
Trade(tid=7692278, price=0.00008491, amount=19.23261300, maker_side=buy, created_at=2018-06-03 17:21:17+00:00)
Trade(tid=7692279, price=0.00008490, amount=149.70553600, maker_side=buy, created_at=2018-06-03 17:21:17+00:00)
Trade(tid=7692280, price=0.00008421, amount=289.35697500, maker_side=buy, created_at=2018-06-03 17:21:17+00:00)
Trade(tid=7692686, price=0.00008700, amount=3.56735632, maker_side=sell, created_at=2018-06-03 18:02:25+00:00)
Trade(tid=7692824, price=0.00008708, amount=563.42949012, maker_side=sell, created_at=2018-06-03 18:24:39+00:00)
