Trade(tid=7691836, price=12252.43, amount=0.02938998, maker_side=buy, created_at=2018-06-03 16:50:17+00:00)
Trade(tid=7691837, price=12252.00, amount=0.02062639, maker_side=buy, created_at=2018-06-03 16:50:17+00:00)
Trade(tid=7692007, price=12299.00, amount=0.03089682, maker_side=sell, created_at=2018-06-03 16:58:44+00:00)
Trade(tid=7692029, price=12252.00, amount=0.05003842, maker_side=buy, created_at=2018-06-03 17:00:34+00:00)
Trade(tid=7692042, price=12253.26, amount=0.59204328, maker_side=buy, created_at=2018-06-03 17:02:47+00:00)
Trade(tid=7692043, price=12253.23, amount=0.04795672, maker_side=buy, created_at=2018-06-03 17:02:47+00:00)
Trade(tid=7692045, price=12345.00, amount=0.03240259, maker_side=sell, created_at=2018-06-03 17:03:24+00:00)
Trade(tid=7692064, price=12252.00, amount=0.40000000, maker_side=buy, created_at=2018-06-03 17:07:22+00:00)
Trade(tid=7692080, price=12252.00, amount=0.19655048, maker_side=buy, created_at=2018-06-03 17:08:59+00:00)
Trade(tid=7692091, price=12252.00, amount=0.21900000, maker_side=buy, created_at=2018-06-03 17:09:27+00:00)
Trade(tid=7692095, price=12252.00, amount=0.06000000, maker_side=buy, created_at=2018-06-03 17:09:55+00:00)
Trade(tid=7692139, price=12333.38, amount=0.30463320, maker_side=sell, created_at=2018-06-03 17:13:44+00:00)
Trade(tid=7692140, price=12333.41, amount=0.25891332, maker_side=sell, created_at=2018-06-03 17:13:44+00:00)
Trade(tid=7692141, price=12333.81, amount=0.16545332, maker_side=sell, created_at=2018-06-03 17:13:44+00:00)
Trade(tid=7692142, price=12334.21, amount=0.89254918, maker_side=sell, created_at=2018-06-03 17:13:44+00:00)
Trade(tid=7692174, price=12260.00, amount=0.06967700, maker_side=buy, created_at=2018-06-03 17:17:40+00:00)
Trade(tid=7692175, price=12252.00, amount=0.29508513, maker_side=buy, created_at=2018-06-03 17:17:40+00:00)
Trade(tid=7692180, price=12270.00, amount=13.30000000, maker_side=buy, created_at=2018-06-03 17:17:48+00:00)
Trade(tid=7692181, price=12270.00, amount=0.50000000, maker_side=buy, created_at=2018-06-03 17:17:51+00:00)
Trade(tid=7692198, price=12269.00, amount=0.24099567, maker_side=sell, created_at=2018-06-03 17:18:58+00:00)
Trade(tid=7692199, price=12270.00, amount=0.00352275, maker_side=sell, created_at=2018-06-03 17:18:58+00:00)
Trade(tid=7692261, price=12329.56, amount=0.04885332, maker_side=sell, created_at=2018-06-03 17:20:43+00:00)
Trade(tid=7692262, price=12329.56, amount=0.00647226, maker_side=sell, created_at=2018-06-03 17:20:43+00:00)
Trade(tid=7692273, price=12329.56, amount=0.03778994, maker_side=sell, created_at=2018-06-03 17:21:16+00:00)
Trade(tid=7692274, price=12329.59, amount=0.04152332, maker_side=sell, created_at=2018-06-03 17:21:16+00:00)
Trade(tid=7692275, price=12329.99, amount=0.69944754, maker_side=sell, created_at=2018-06-03 17:21:16+00:00)
Trade(tid=7692380, price=12252.83, amount=0.04343802, maker_side=buy, created_at=2018-06-03 17:26:58+00:00)
Trade(tid=7692385, price=12252.43, amount=0.02884994, maker_side=buy, created_at=2018-06-03 17:27:14+00:00)
Trade(tid=7692386, price=12252.43, amount=0.07115006, maker_side=buy, created_at=2018-06-03 17:27:14+00:00)
Trade(tid=7692387, price=12252.00, amount=0.12331895, maker_side=buy, created_at=2018-06-03 17:27:20+00:00)
Trade(tid=7692388, price=12329.54, amount=0.01906884, maker_side=sell, created_at=2018-06-03 17:27:25+00:00)
Trade(tid=7692416, price=12327.57, amount=0.05042994, maker_side=sell, created_at=2018-06-03 17:29:22+00:00)
Trade(tid=7692417, price=12327.99, amount=0.07124611, maker_side=sell, created_at=2018-06-03 17:29:22+00:00)
Trade(tid=7692474, price=12327.54, amount=0.04033998, maker_side=sell, created_at=2018-06-03 17:33:38+00:00)
Trade(tid=7692475, price=12327.57, amount=0.03428998, maker_side=sell, created_at=2018-06-03 17:33:38+00:00)
Trade(tid=7692476, price=12327.97, amount=0.47869642, maker_side=sell, created_at=2018-06-03 17:33:38+00:00)
Trade(tid=7692481, price=12320.00, amount=0.00667532, maker_side=sell, created_at=2018-06-03 17:34:05+00:00)
Trade(tid=7692565, price=12310.00, amount=0.04061739, maker_side=sell, created_at=2018-06-03 17:40:37+00:00)
Trade(tid=7692571, price=12265.71, amount=0.03110563, maker_side=buy, created_at=2018-06-03 17:41:16+00:00)
Trade(tid=7692612, price=12300.00, amount=0.01159675, maker_side=buy, created_at=2018-06-03 17:46:28+00:00)
Trade(tid=7692613, price=12252.01, amount=0.59555978, maker_side=buy, created_at=2018-06-03 17:46:28+00:00)
Trade(tid=7692618, price=12310.00, amount=0.04472380, maker_side=sell, created_at=2018-06-03 17:47:35+00:00)
Trade(tid=7692662, price=12310.00, amount=0.40617384, maker_side=sell, created_at=2018-06-03 17:52:50+00:00)
Trade(tid=7692665, price=12310.00, amount=0.00065638, maker_side=sell, created_at=2018-06-03 17:53:44+00:00)
Trade(tid=7692667, price=12261.23, amount=0.02173137, maker_side=buy, created_at=2018-06-03 17:56:09+00:00)
Trade(tid=7692676, price=12299.00, amount=0.02032521, maker_side=sell, created_at=2018-06-03 17:57:45+00:00)
Trade(tid=7692680, price=12282.52, amount=0.39242532, maker_side=buy, created_at=2018-06-03 18:00:27+00:00)
Trade(tid=7692681, price=12299.00, amount=0.14393205, maker_side=sell, created_at=2018-06-03 18:00:50+00:00)
Trade(tid=7692685, price=12300.00, amount=0.08330488, maker_side=sell, created_at=2018-06-03 18:02:05+00:00)
Trade(tid=7692693, price=12299.00, amount=0.01410277, maker_side=sell, created_at=2018-06-03 18:04:19+00:00)
Trade(tid=7692700, price=12309.99, amount=9.59194765, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692699, price=12300.00, amount=0.41669512, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692698, price=12299.00, amount=0.00189723, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692700, price=12309.99, amount=9.59194765, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692699, price=12300.00, amount=0.41669512, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692700, price=12309.99, amount=9.59194765, maker_side=sell, created_at=2018-06-03 18:04:59+00:00)
Trade(tid=7692708, price=12280.43, amount=0.00755200, maker_side=buy, created_at=2018-06-03 18:06:41+00:00)
Trade(tid=7692719, price=12309.59, amount=0.22851157, maker_side=buy, created_at=2018-06-03 18:08:06+00:00)
Trade(tid=7692716, price=12309.59, amount=0.25891328, maker_side=sell, created_at=2018-06-03 18:07:52+00:00)
Trade(tid=7692719, price=12309.59, amount=0.22851157, maker_side=buy, created_at=2018-06-03 18:08:06+00:00)
Trade(tid=7692741, price=12308.99, amount=0.04062072, maker_side=sell, created_at=2018-06-03 18:11:34+00:00)
Trade(tid=7692751, price=12280.00, amount=0.02303162, maker_side=buy, created_at=2018-06-03 18:13:04+00:00)
Trade(tid=7692756, price=12309.42, amount=0.02578853, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692755, price=12309.02, amount=0.05406328, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692754, price=12308.99, amount=0.02301208, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692753, price=12308.56, amount=0.05547332, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692756, price=12309.42, amount=0.02578853, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692755, price=12309.02, amount=0.05406328, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692754, price=12308.99, amount=0.02301208, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692756, price=12309.42, amount=0.02578853, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692755, price=12309.02, amount=0.05406328, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692756, price=12309.42, amount=0.02578853, maker_side=sell, created_at=2018-06-03 18:14:07+00:00)
Trade(tid=7692785, price=12252.00, amount=0.88848378, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692784, price=12252.01, amount=0.06555624, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692783, price=12252.40, amount=0.00432332, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692782, price=12252.43, amount=0.00302332, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692781, price=12280.00, amount=0.03861334, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692787, price=12252.43, amount=0.17309665, maker_side=buy, created_at=2018-06-03 18:17:58+00:00)
Trade(tid=7692785, price=12252.00, amount=0.88848378, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692784, price=12252.01, amount=0.06555624, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692783, price=12252.40, amount=0.00432332, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692782, price=12252.43, amount=0.00302332, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692787, price=12252.43, amount=0.17309665, maker_side=buy, created_at=2018-06-03 18:17:58+00:00)
Trade(tid=7692785, price=12252.00, amount=0.88848378, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692784, price=12252.01, amount=0.06555624, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692783, price=12252.40, amount=0.00432332, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692787, price=12252.43, amount=0.17309665, maker_side=buy, created_at=2018-06-03 18:17:58+00:00)
Trade(tid=7692785, price=12252.00, amount=0.88848378, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692784, price=12252.01, amount=0.06555624, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692787, price=12252.43, amount=0.17309665, maker_side=buy, created_at=2018-06-03 18:17:58+00:00)
Trade(tid=7692785, price=12252.00, amount=0.88848378, maker_side=buy, created_at=2018-06-03 18:17:35+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692787, price=12252.43, amount=0.17309665, maker_side=buy, created_at=2018-06-03 18:17:58+00:00)
Trade(tid=7692790, price=12309.42, amount=0.02193442, maker_side=sell, created_at=2018-06-03 18:18:09+00:00)
Trade(tid=7692813, price=12252.43, amount=0.19250060, maker_side=buy, created_at=2018-06-03 18:21:58+00:00)
Trade(tid=7692812, price=12252.43, amount=0.80749940, maker_side=buy, created_at=2018-06-03 18:21:58+00:00)
Trade(tid=7692813, price=12252.43, amount=0.19250060, maker_side=buy, created_at=2018-06-03 18:21:58+00:00)
Trade(tid=7692829, price=12252.00, amount=0.00139006, maker_side=buy, created_at=2018-06-03 18:26:06+00:00)
Trade(tid=7692828, price=12252.43, amount=0.04755994, maker_side=buy, created_at=2018-06-03 18:26:06+00:00)
Trade(tid=7692829, price=12252.00, amount=0.00139006, maker_side=buy, created_at=2018-06-03 18:26:06+00:00)
Trade(tid=7692839, price=12252.00, amount=0.14207298, maker_side=buy, created_at=2018-06-03 18:29:11+00:00)
Trade(tid=7692848, price=12252.00, amount=0.48589859, maker_side=buy, created_at=2018-06-03 18:32:27+00:00)
Trade(tid=7692855, price=12252.00, amount=0.02452383, maker_side=buy, created_at=2018-06-03 18:34:44+00:00)
Trade(tid=7692862, price=12277.69, amount=0.43167729, maker_side=sell, created_at=2018-06-03 18:34:57+00:00)
Trade(tid=7692870, price=12275.52, amount=0.04887777, maker_side=sell, created_at=2018-06-03 18:36:33+00:00)
Trade(tid=7692872, price=12275.51, amount=0.01106315, maker_side=sell, created_at=2018-06-03 18:36:44+00:00)
Trade(tid=7692883, price=12252.00, amount=0.09794320, maker_side=buy, created_at=2018-06-03 18:37:56+00:00)
Trade(tid=7692885, price=12273.84, amount=0.02119732, maker_side=sell, created_at=2018-06-03 18:38:15+00:00)
Trade(tid=7692884, price=12273.81, amount=0.30469980, maker_side=sell, created_at=2018-06-03 18:38:15+00:00)
Trade(tid=7692885, price=12273.84, amount=0.02119732, maker_side=sell, created_at=2018-06-03 18:38:15+00:00)
Trade(tid=7692894, price=12252.00, amount=0.16323866, maker_side=buy, created_at=2018-06-03 18:38:59+00:00)
Trade(tid=7692904, price=12252.00, amount=0.05008217, maker_side=buy, created_at=2018-06-03 18:40:19+00:00)
Trade(tid=7692927, price=12252.00, amount=0.28528205, maker_side=buy, created_at=2018-06-03 18:44:16+00:00)
Trade(tid=7692926, price=12284.57, amount=0.00814029, maker_side=sell, created_at=2018-06-03 18:44:14+00:00)
Trade(tid=7692930, price=12252.00, amount=0.61968199, maker_side=buy, created_at=2018-06-03 18:44:58+00:00)
Trade(tid=7692929, price=12252.00, amount=1.74400000, maker_side=buy, created_at=2018-06-03 18:44:40+00:00)
Trade(tid=7692927, price=12252.00, amount=0.28528205, maker_side=buy, created_at=2018-06-03 18:44:16+00:00)
Trade(tid=7692930, price=12252.00, amount=0.61968199, maker_side=buy, created_at=2018-06-03 18:44:58+00:00)
Trade(tid=7692929, price=12252.00, amount=1.74400000, maker_side=buy, created_at=2018-06-03 18:44:40+00:00)
Trade(tid=7692941, price=12250.90, amount=0.04081333, maker_side=buy, created_at=2018-06-03 18:45:38+00:00)
Trade(tid=7692930, price=12252.00, amount=0.61968199, maker_side=buy, created_at=2018-06-03 18:44:58+00:00)
Trade(tid=7692948, price=12250.89, amount=0.43270244, maker_side=sell, created_at=2018-06-03 18:46:11+00:00)
Trade(tid=7692941, price=12250.90, amount=0.04081333, maker_side=buy, created_at=2018-06-03 18:45:38+00:00)
Trade(tid=7692961, price=12233.00, amount=0.02452383, maker_side=buy, created_at=2018-06-03 18:46:43+00:00)
Trade(tid=7692960, price=12233.00, amount=2.37063681, maker_side=buy, created_at=2018-06-03 18:46:43+00:00)
Trade(tid=7692959, price=12250.00, amount=0.01632654, maker_side=buy, created_at=2018-06-03 18:46:41+00:00)
Trade(tid=7692956, price=12250.89, amount=0.00326507, maker_side=sell, created_at=2018-06-03 18:46:35+00:00)
Trade(tid=7692948, price=12250.89, amount=0.43270244, maker_side=sell, created_at=2018-06-03 18:46:11+00:00)
Trade(tid=7692970, price=12200.00, amount=0.01890617, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692969, price=12200.00, amount=0.01639345, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692968, price=12200.00, amount=0.00409837, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692967, price=12200.00, amount=0.00275000, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692966, price=12230.00, amount=0.00785201, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692961, price=12233.00, amount=0.02452383, maker_side=buy, created_at=2018-06-03 18:46:43+00:00)
Trade(tid=7692960, price=12233.00, amount=2.37063681, maker_side=buy, created_at=2018-06-03 18:46:43+00:00)
Trade(tid=7692959, price=12250.00, amount=0.01632654, maker_side=buy, created_at=2018-06-03 18:46:41+00:00)
Trade(tid=7692956, price=12250.89, amount=0.00326507, maker_side=sell, created_at=2018-06-03 18:46:35+00:00)
Trade(tid=7692970, price=12200.00, amount=0.01890617, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692969, price=12200.00, amount=0.01639345, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692968, price=12200.00, amount=0.00409837, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692967, price=12200.00, amount=0.00275000, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
Trade(tid=7692966, price=12230.00, amount=0.00785201, maker_side=buy, created_at=2018-06-03 18:47:09+00:00)
