Trade(tid=7689290, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:22+00:00)
Trade(tid=7689291, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:24+00:00)
Trade(tid=7689292, price=0.08049999, amount=0.29981422, maker_side=sell, created_at=2018-06-03 13:36:25+00:00)
Trade(tid=7689293, price=0.08076299, amount=0.00045045, maker_side=sell, created_at=2018-06-03 13:36:25+00:00)
Trade(tid=7689296, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:30+00:00)
Trade(tid=7689297, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:32+00:00)
Trade(tid=7689298, price=0.08049999, amount=0.29981422, maker_side=sell, created_at=2018-06-03 13:36:33+00:00)
Trade(tid=7689299, price=0.08076299, amount=0.00045045, maker_side=sell, created_at=2018-06-03 13:36:33+00:00)
Trade(tid=7689300, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:38+00:00)
Trade(tid=7689301, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:40+00:00)
Trade(tid=7689302, price=0.08049999, amount=0.29981422, maker_side=sell, created_at=2018-06-03 13:36:41+00:00)
Trade(tid=7689303, price=0.08076299, amount=0.00045045, maker_side=sell, created_at=2018-06-03 13:36:41+00:00)
Trade(tid=7689304, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:49+00:00)
Trade(tid=7689305, price=0.08049999, amount=0.80009289, maker_side=sell, created_at=2018-06-03 13:36:50+00:00)
Trade(tid=7689306, price=0.08076298, amount=0.02707158, maker_side=sell, created_at=2018-06-03 13:36:52+00:00)
Trade(tid=7689307, price=0.08076298, amount=0.27319311, maker_side=sell, created_at=2018-06-03 13:36:52+00:00)
Trade(tid=7689551, price=0.07878700, amount=0.03050758, maker_side=buy, created_at=2018-06-03 14:03:32+00:00)
Trade(tid=7689646, price=0.08047300, amount=0.00186398, maker_side=sell, created_at=2018-06-03 14:11:34+00:00)
Trade(tid=7689724, price=0.08068199, amount=0.04322098, maker_side=sell, created_at=2018-06-03 14:15:11+00:00)
Trade(tid=7689725, price=0.08068200, amount=0.08072247, maker_side=sell, created_at=2018-06-03 14:15:11+00:00)
Trade(tid=7689800, price=0.07898600, amount=0.04000000, maker_side=buy, created_at=2018-06-03 14:20:08+00:00)
Trade(tid=7690001, price=0.07928301, amount=0.00860922, maker_side=buy, created_at=2018-06-03 14:37:59+00:00)
Trade(tid=7690002, price=0.07928300, amount=0.08390000, maker_side=buy, created_at=2018-06-03 14:37:59+00:00)
Trade(tid=7690003, price=0.07928300, amount=0.01157799, maker_side=buy, created_at=2018-06-03 14:37:59+00:00)
Trade(tid=7690306, price=0.08049999, amount=0.00084137, maker_side=sell, created_at=2018-06-03 15:00:05+00:00)
Trade(tid=7690307, price=0.08030000, amount=0.56000000, maker_side=sell, created_at=2018-06-03 15:00:05+00:00)
Trade(tid=7690433, price=0.08000000, amount=1.90000000, maker_side=buy, created_at=2018-06-03 15:13:20+00:00)
