Trade(tid=7706907, price=2420.00, amount=0.89732758, maker_side=sell, created_at=2018-06-05 00:53:14+00:00)
Trade(tid=7706908, price=2438.99, amount=0.08234854, maker_side=sell, created_at=2018-06-05 00:53:14+00:00)
Trade(tid=7706915, price=2438.99, amount=1.02501000, maker_side=sell, created_at=2018-06-05 00:54:46+00:00)
Trade(tid=7706916, price=2438.99, amount=0.41001024, maker_side=buy, created_at=2018-06-05 00:54:47+00:00)
Trade(tid=7706923, price=2439.00, amount=0.37130509, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706924, price=2440.00, amount=0.92606882, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706925, price=2440.00, amount=0.66621470, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706926, price=2440.00, amount=0.60804221, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706927, price=2449.98, amount=0.69217334, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706928, price=2449.99, amount=1.03256800, maker_side=sell, created_at=2018-06-05 00:57:47+00:00)
Trade(tid=7706936, price=2401.00, amount=0.00967904, maker_side=buy, created_at=2018-06-05 00:59:09+00:00)
Trade(tid=7706939, price=2401.01, amount=0.05040183, maker_side=buy, created_at=2018-06-05 01:00:53+00:00)
Trade(tid=7706940, price=2401.50, amount=0.94959817, maker_side=buy, created_at=2018-06-05 01:00:53+00:00)
Trade(tid=7706943, price=2401.01, amount=0.20000000, maker_side=buy, created_at=2018-06-05 01:02:04+00:00)
Trade(tid=7706957, price=2402.50, amount=1.01344247, maker_side=buy, created_at=2018-06-05 01:06:07+00:00)
Trade(tid=7706958, price=2444.47, amount=0.19900000, maker_side=sell, created_at=2018-06-05 01:06:14+00:00)
Trade(tid=7706959, price=2444.48, amount=0.00554329, maker_side=sell, created_at=2018-06-05 01:06:14+00:00)
Trade(tid=7706969, price=2444.23, amount=0.00818254, maker_side=sell, created_at=2018-06-05 01:08:31+00:00)
Trade(tid=7706977, price=2444.23, amount=0.17623938, maker_side=sell, created_at=2018-06-05 01:09:05+00:00)
Trade(tid=7706978, price=2444.23, amount=0.00181746, maker_side=sell, created_at=2018-06-05 01:09:05+00:00)
Trade(tid=7706980, price=2444.23, amount=0.14924461, maker_side=buy, created_at=2018-06-05 01:09:07+00:00)
Trade(tid=7706995, price=2442.50, amount=0.04460677, maker_side=sell, created_at=2018-06-05 01:11:51+00:00)
Trade(tid=7707001, price=2442.48, amount=0.04460630, maker_side=sell, created_at=2018-06-05 01:12:15+00:00)
Trade(tid=7707006, price=2403.00, amount=1.01199335, maker_side=buy, created_at=2018-06-05 01:12:51+00:00)
Trade(tid=7707007, price=2402.99, amount=1.04037054, maker_side=buy, created_at=2018-06-05 01:12:51+00:00)
