Trade(tid=7706237, price=21618.33, amount=0.07000000, maker_side=buy, created_at=2018-06-04 23:32:08+00:00)
Trade(tid=7706242, price=21899.99, amount=0.01653000, maker_side=sell, created_at=2018-06-04 23:33:25+00:00)
Trade(tid=7706273, price=21615.00, amount=0.02313209, maker_side=buy, created_at=2018-06-04 23:37:26+00:00)
Trade(tid=7706274, price=21612.47, amount=0.00118127, maker_side=buy, created_at=2018-06-04 23:37:26+00:00)
Trade(tid=7706275, price=21550.01, amount=0.00028061, maker_side=buy, created_at=2018-06-04 23:37:26+00:00)
Trade(tid=7706308, price=21899.99, amount=0.00034482, maker_side=sell, created_at=2018-06-04 23:41:14+00:00)
Trade(tid=7706309, price=21699.00, amount=0.06862068, maker_side=sell, created_at=2018-06-04 23:41:14+00:00)
Trade(tid=7706314, price=21699.00, amount=0.00515277, maker_side=buy, created_at=2018-06-04 23:41:53+00:00)
Trade(tid=7706316, price=21699.00, amount=0.00000876, maker_side=sell, created_at=2018-06-04 23:41:56+00:00)
Trade(tid=7706317, price=21800.00, amount=0.22847892, maker_side=sell, created_at=2018-06-04 23:41:56+00:00)
Trade(tid=7706318, price=21899.99, amount=0.00114817, maker_side=sell, created_at=2018-06-04 23:41:56+00:00)
Trade(tid=7706332, price=21870.00, amount=0.00492000, maker_side=sell, created_at=2018-06-04 23:43:46+00:00)
Trade(tid=7706352, price=21870.00, amount=0.02891631, maker_side=sell, created_at=2018-06-04 23:46:52+00:00)
Trade(tid=7706360, price=21900.00, amount=0.15698658, maker_side=sell, created_at=2018-06-04 23:47:59+00:00)
Trade(tid=7706361, price=22299.99, amount=0.00078887, maker_side=sell, created_at=2018-06-04 23:47:59+00:00)
Trade(tid=7706367, price=22100.00, amount=0.04467421, maker_side=sell, created_at=2018-06-04 23:49:36+00:00)
Trade(tid=7706368, price=22299.92, amount=0.00852294, maker_side=sell, created_at=2018-06-04 23:49:36+00:00)
Trade(tid=7706369, price=22299.93, amount=0.63238984, maker_side=sell, created_at=2018-06-04 23:49:36+00:00)
Trade(tid=7706389, price=22299.91, amount=0.03916246, maker_side=sell, created_at=2018-06-04 23:51:33+00:00)
Trade(tid=7706468, price=22299.99, amount=0.07299054, maker_side=sell, created_at=2018-06-05 00:04:41+00:00)
Trade(tid=7706469, price=22300.00, amount=1.99000000, maker_side=sell, created_at=2018-06-05 00:04:41+00:00)
Trade(tid=7706470, price=22487.99, amount=18.56083766, maker_side=sell, created_at=2018-06-05 00:04:41+00:00)
Trade(tid=7706487, price=22000.00, amount=0.25372554, maker_side=sell, created_at=2018-06-05 00:06:34+00:00)
Trade(tid=7706488, price=22484.99, amount=0.00127500, maker_side=sell, created_at=2018-06-05 00:06:34+00:00)
Trade(tid=7706501, price=22488.00, amount=0.00493241, maker_side=sell, created_at=2018-06-05 00:09:22+00:00)
Trade(tid=7706508, price=21700.01, amount=0.00466497, maker_side=buy, created_at=2018-06-05 00:10:06+00:00)
Trade(tid=7706533, price=22486.99, amount=0.00349669, maker_side=sell, created_at=2018-06-05 00:11:27+00:00)
Trade(tid=7706621, price=22484.00, amount=0.00215264, maker_side=sell, created_at=2018-06-05 00:29:36+00:00)
Trade(tid=7706647, price=21950.01, amount=0.00196712, maker_side=buy, created_at=2018-06-05 00:34:36+00:00)
Trade(tid=7706673, price=22400.00, amount=0.00152000, maker_side=sell, created_at=2018-06-05 00:37:40+00:00)
Trade(tid=7706674, price=22482.00, amount=0.02123700, maker_side=sell, created_at=2018-06-05 00:37:40+00:00)
Trade(tid=7706675, price=22548.99, amount=0.00310225, maker_side=sell, created_at=2018-06-05 00:37:40+00:00)
Trade(tid=7706676, price=22549.00, amount=0.03186612, maker_side=sell, created_at=2018-06-05 00:37:40+00:00)
Trade(tid=7706714, price=21960.08, amount=0.01000000, maker_side=buy, created_at=2018-06-05 00:39:44+00:00)
Trade(tid=7706752, price=21960.11, amount=0.08709660, maker_side=buy, created_at=2018-06-05 00:41:38+00:00)
Trade(tid=7706956, price=22439.97, amount=0.00175178, maker_side=sell, created_at=2018-06-05 01:04:24+00:00)
