Trade(tid=7705902, price=0.07836801, amount=0.04790091, maker_side=buy, created_at=2018-06-04 22:56:13+00:00)
Trade(tid=7706061, price=0.07919999, amount=0.00908700, maker_side=sell, created_at=2018-06-04 23:11:47+00:00)
Trade(tid=7706062, price=0.07920000, amount=0.04468699, maker_side=sell, created_at=2018-06-04 23:11:47+00:00)
Trade(tid=7706187, price=0.07914000, amount=0.00374875, maker_side=sell, created_at=2018-06-04 23:25:29+00:00)
Trade(tid=7706346, price=0.07924000, amount=0.04356475, maker_side=sell, created_at=2018-06-04 23:45:58+00:00)
Trade(tid=7706472, price=0.07859401, amount=0.00999573, maker_side=buy, created_at=2018-06-05 00:04:53+00:00)
Trade(tid=7706484, price=0.07862402, amount=0.00840899, maker_side=buy, created_at=2018-06-05 00:06:30+00:00)
Trade(tid=7706492, price=0.07864401, amount=0.00748649, maker_side=buy, created_at=2018-06-05 00:07:18+00:00)
Trade(tid=7706503, price=0.07868402, amount=0.00649797, maker_side=buy, created_at=2018-06-05 00:09:28+00:00)
Trade(tid=7706528, price=0.07938999, amount=0.00739350, maker_side=sell, created_at=2018-06-05 00:10:50+00:00)
Trade(tid=7706607, price=0.07893501, amount=0.00911382, maker_side=buy, created_at=2018-06-05 00:26:14+00:00)
Trade(tid=7706610, price=0.07894501, amount=0.00890002, maker_side=buy, created_at=2018-06-05 00:26:45+00:00)
Trade(tid=7706767, price=0.07936999, amount=0.00903736, maker_side=sell, created_at=2018-06-05 00:44:00+00:00)
Trade(tid=7706774, price=0.07934000, amount=0.00979704, maker_side=sell, created_at=2018-06-05 00:44:31+00:00)
Trade(tid=7706777, price=0.07934000, amount=0.00492408, maker_side=sell, created_at=2018-06-05 00:44:35+00:00)
Trade(tid=7706786, price=0.07936000, amount=0.00979455, maker_side=sell, created_at=2018-06-05 00:45:05+00:00)
Trade(tid=7706792, price=0.07936000, amount=0.00942031, maker_side=sell, created_at=2018-06-05 00:45:18+00:00)
Trade(tid=7706795, price=0.07936000, amount=0.00549573, maker_side=sell, created_at=2018-06-05 00:45:22+00:00)
Trade(tid=7706799, price=0.07935999, amount=0.00862013, maker_side=sell, created_at=2018-06-05 00:45:39+00:00)
Trade(tid=7706814, price=0.07939000, amount=0.00759079, maker_side=sell, created_at=2018-06-05 00:47:25+00:00)
Trade(tid=7706819, price=0.07939000, amount=0.00816773, maker_side=sell, created_at=2018-06-05 00:47:32+00:00)
Trade(tid=7706823, price=0.07939000, amount=0.00816755, maker_side=sell, created_at=2018-06-05 00:47:36+00:00)
Trade(tid=7706826, price=0.07939000, amount=0.00816755, maker_side=sell, created_at=2018-06-05 00:47:47+00:00)
Trade(tid=7706829, price=0.07939000, amount=0.00816755, maker_side=sell, created_at=2018-06-05 00:47:51+00:00)
Trade(tid=7706833, price=0.07939000, amount=0.00641918, maker_side=sell, created_at=2018-06-05 00:47:57+00:00)
Trade(tid=7706837, price=0.07939000, amount=0.00517022, maker_side=sell, created_at=2018-06-05 00:48:06+00:00)
Trade(tid=7706841, price=0.07939000, amount=0.00517022, maker_side=sell, created_at=2018-06-05 00:48:15+00:00)
Trade(tid=7706844, price=0.07939000, amount=0.00429590, maker_side=sell, created_at=2018-06-05 00:48:20+00:00)
Trade(tid=7706847, price=0.07939000, amount=0.00429590, maker_side=sell, created_at=2018-06-05 00:48:25+00:00)
Trade(tid=7706850, price=0.07939000, amount=0.00791753, maker_side=sell, created_at=2018-06-05 00:48:34+00:00)
Trade(tid=7706867, price=0.07940000, amount=0.00474235, maker_side=sell, created_at=2018-06-05 00:50:34+00:00)
Trade(tid=7706871, price=0.07940000, amount=0.00771732, maker_side=sell, created_at=2018-06-05 00:50:42+00:00)
Trade(tid=7706872, price=0.07940000, amount=0.00474235, maker_side=sell, created_at=2018-06-05 00:50:45+00:00)
Trade(tid=7706876, price=0.07940000, amount=0.00474235, maker_side=sell, created_at=2018-06-05 00:50:50+00:00)
Trade(tid=7706886, price=0.07940000, amount=0.00771732, maker_side=sell, created_at=2018-06-05 00:50:55+00:00)
Trade(tid=7706891, price=0.07940000, amount=0.00646773, maker_side=sell, created_at=2018-06-05 00:51:05+00:00)
Trade(tid=7706894, price=0.07940000, amount=0.00646773, maker_side=sell, created_at=2018-06-05 00:51:09+00:00)
Trade(tid=7706898, price=0.07940000, amount=0.00661849, maker_side=sell, created_at=2018-06-05 00:51:15+00:00)
Trade(tid=7707037, price=0.07940000, amount=0.00020702, maker_side=sell, created_at=2018-06-05 01:14:34+00:00)
Trade(tid=7707038, price=0.07953000, amount=0.06244562, maker_side=sell, created_at=2018-06-05 01:14:34+00:00)
Trade(tid=7707149, price=0.07859101, amount=0.00792523, maker_side=buy, created_at=2018-06-05 01:32:27+00:00)
Trade(tid=7707156, price=0.07861102, amount=0.00834593, maker_side=buy, created_at=2018-06-05 01:33:19+00:00)
Trade(tid=7707161, price=0.07952999, amount=0.00819600, maker_side=sell, created_at=2018-06-05 01:35:33+00:00)
Trade(tid=7707162, price=0.07952999, amount=0.00860100, maker_side=sell, created_at=2018-06-05 01:35:33+00:00)
Trade(tid=7707163, price=0.07953000, amount=0.06394203, maker_side=sell, created_at=2018-06-05 01:35:33+00:00)
