Trade(tid=7702420, price=0.01590001, amount=0.22782738, maker_side=sell, created_at=2018-06-04 16:39:37+00:00)
Trade(tid=7702421, price=0.01590001, amount=0.17141726, maker_side=sell, created_at=2018-06-04 16:39:48+00:00)
Trade(tid=7702530, price=0.01590001, amount=0.07000000, maker_side=buy, created_at=2018-06-04 16:51:43+00:00)
Trade(tid=7702576, price=0.01599900, amount=0.04153437, maker_side=sell, created_at=2018-06-04 16:57:27+00:00)
Trade(tid=7702817, price=0.01590000, amount=1.22210113, maker_side=buy, created_at=2018-06-04 17:16:05+00:00)
Trade(tid=7702925, price=0.01590000, amount=1.00000000, maker_side=buy, created_at=2018-06-04 17:27:57+00:00)
Trade(tid=7702945, price=0.01590000, amount=0.00319689, maker_side=buy, created_at=2018-06-04 17:30:17+00:00)
Trade(tid=7703129, price=0.01599000, amount=0.11708417, maker_side=sell, created_at=2018-06-04 17:50:16+00:00)
Trade(tid=7703249, price=0.01590000, amount=0.86440516, maker_side=buy, created_at=2018-06-04 18:02:57+00:00)
Trade(tid=7703410, price=0.01598800, amount=0.04167063, maker_side=sell, created_at=2018-06-04 18:14:28+00:00)
Trade(tid=7703609, price=0.01598899, amount=0.06338675, maker_side=sell, created_at=2018-06-04 18:29:06+00:00)
Trade(tid=7703936, price=0.01590001, amount=0.00622599, maker_side=buy, created_at=2018-06-04 19:12:06+00:00)
Trade(tid=7704387, price=0.01590000, amount=0.15671250, maker_side=buy, created_at=2018-06-04 20:06:52+00:00)
Trade(tid=7704564, price=0.01590001, amount=0.20051624, maker_side=buy, created_at=2018-06-04 20:28:58+00:00)
Trade(tid=7704726, price=0.01599900, amount=0.20000000, maker_side=sell, created_at=2018-06-04 20:48:49+00:00)
Trade(tid=7704766, price=0.01590001, amount=0.53089214, maker_side=buy, created_at=2018-06-04 20:55:43+00:00)
Trade(tid=7704767, price=0.01590000, amount=0.51724658, maker_side=buy, created_at=2018-06-04 20:55:43+00:00)
Trade(tid=7704931, price=0.01599900, amount=0.06253000, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704932, price=0.01600000, amount=0.01100000, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704933, price=0.01600000, amount=0.05432323, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704934, price=0.01615192, amount=0.11679146, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704935, price=0.01620000, amount=0.02503496, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704936, price=0.01620000, amount=0.20000000, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7704937, price=0.01627095, amount=0.07926396, maker_side=sell, created_at=2018-06-04 21:08:15+00:00)
Trade(tid=7706099, price=0.01592400, amount=0.06297459, maker_side=buy, created_at=2018-06-04 23:14:25+00:00)
Trade(tid=7706271, price=0.01608300, amount=0.00389417, maker_side=sell, created_at=2018-06-04 23:37:06+00:00)
Trade(tid=7706386, price=0.01590214, amount=0.20325322, maker_side=buy, created_at=2018-06-04 23:51:21+00:00)
Trade(tid=7706511, price=0.01600001, amount=0.04349925, maker_side=buy, created_at=2018-06-05 00:10:08+00:00)
Trade(tid=7706512, price=0.01600001, amount=0.09222948, maker_side=buy, created_at=2018-06-05 00:10:11+00:00)
Trade(tid=7706515, price=0.01600001, amount=0.10245197, maker_side=buy, created_at=2018-06-05 00:10:21+00:00)
Trade(tid=7706523, price=0.01608300, amount=0.08748057, maker_side=sell, created_at=2018-06-05 00:10:36+00:00)
Trade(tid=7706524, price=0.01600001, amount=0.09827793, maker_side=buy, created_at=2018-06-05 00:10:38+00:00)
Trade(tid=7706526, price=0.01600000, amount=0.03677784, maker_side=buy, created_at=2018-06-05 00:10:49+00:00)
Trade(tid=7706573, price=0.01600000, amount=0.01913936, maker_side=buy, created_at=2018-06-05 00:17:01+00:00)
Trade(tid=7706580, price=0.01600001, amount=0.09346421, maker_side=buy, created_at=2018-06-05 00:19:19+00:00)
Trade(tid=7706751, price=0.01600000, amount=1.30000000, maker_side=buy, created_at=2018-06-05 00:41:08+00:00)
Trade(tid=7706798, price=0.01600000, amount=0.02696588, maker_side=buy, created_at=2018-06-05 00:45:27+00:00)
Trade(tid=7706903, price=0.01600000, amount=0.04508337, maker_side=buy, created_at=2018-06-05 00:53:02+00:00)
Trade(tid=7706994, price=0.01600000, amount=0.04438373, maker_side=buy, created_at=2018-06-05 01:11:50+00:00)
Trade(tid=7707002, price=0.01600000, amount=0.04438327, maker_side=buy, created_at=2018-06-05 01:12:16+00:00)
Trade(tid=7707049, price=0.01600000, amount=0.00995069, maker_side=buy, created_at=2018-06-05 01:17:45+00:00)
Trade(tid=7707089, price=0.01600000, amount=0.02287806, maker_side=buy, created_at=2018-06-05 01:21:49+00:00)
Trade(tid=7707091, price=0.01600000, amount=0.02287806, maker_side=buy, created_at=2018-06-05 01:21:53+00:00)
Trade(tid=7707128, price=0.01600000, amount=0.03321970, maker_side=buy, created_at=2018-06-05 01:30:32+00:00)
Trade(tid=7707173, price=0.01608324, amount=0.06088901, maker_side=sell, created_at=2018-06-05 01:36:35+00:00)
Trade(tid=7707237, price=0.01600000, amount=0.04974939, maker_side=buy, created_at=2018-06-05 01:52:39+00:00)
Trade(tid=7707252, price=0.01600000, amount=0.07039180, maker_side=buy, created_at=2018-06-05 01:55:22+00:00)
Trade(tid=7707256, price=0.01600000, amount=0.00943630, maker_side=buy, created_at=2018-06-05 01:55:41+00:00)
Trade(tid=7707260, price=0.01600000, amount=0.08620442, maker_side=buy, created_at=2018-06-05 01:55:48+00:00)
