Trade(tid=7705815, price=0.00008761, amount=0.30818400, maker_side=buy, created_at=2018-06-04 22:50:36+00:00)
Trade(tid=7705816, price=0.00008732, amount=40.00000000, maker_side=buy, created_at=2018-06-04 22:50:36+00:00)
Trade(tid=7705817, price=0.00008716, amount=5.90183500, maker_side=buy, created_at=2018-06-04 22:50:36+00:00)
Trade(tid=7705818, price=0.00008715, amount=1229.27381100, maker_side=buy, created_at=2018-06-04 22:50:36+00:00)
Trade(tid=7706068, price=0.00008870, amount=7.10259301, maker_side=sell, created_at=2018-06-04 23:12:18+00:00)
Trade(tid=7706247, price=0.00008718, amount=18.73537600, maker_side=buy, created_at=2018-06-04 23:33:58+00:00)
Trade(tid=7706250, price=0.00008712, amount=10.80000000, maker_side=buy, created_at=2018-06-04 23:34:27+00:00)
Trade(tid=7706270, price=0.00008712, amount=14.00000000, maker_side=buy, created_at=2018-06-04 23:36:58+00:00)
Trade(tid=7706305, price=0.00008712, amount=0.20000000, maker_side=buy, created_at=2018-06-04 23:40:47+00:00)
Trade(tid=7706311, price=0.00008712, amount=8.56439500, maker_side=sell, created_at=2018-06-04 23:41:15+00:00)
Trade(tid=7706320, price=0.00008712, amount=1.43824700, maker_side=sell, created_at=2018-06-04 23:42:13+00:00)
Trade(tid=7706323, price=0.00008712, amount=8.79729200, maker_side=sell, created_at=2018-06-04 23:42:38+00:00)
Trade(tid=7706329, price=0.00008700, amount=22.12857900, maker_side=buy, created_at=2018-06-04 23:43:14+00:00)
Trade(tid=7706330, price=0.00008701, amount=31.09957000, maker_side=buy, created_at=2018-06-04 23:43:14+00:00)
Trade(tid=7706343, price=0.00008712, amount=0.00006600, maker_side=sell, created_at=2018-06-04 23:45:18+00:00)
Trade(tid=7706475, price=0.00008702, amount=7.86767300, maker_side=buy, created_at=2018-06-05 00:05:03+00:00)
Trade(tid=7706634, price=0.00008731, amount=11.16014600, maker_side=buy, created_at=2018-06-05 00:31:43+00:00)
Trade(tid=7706638, price=0.00008731, amount=5.66363800, maker_side=buy, created_at=2018-06-05 00:31:55+00:00)
Trade(tid=7706640, price=0.00008731, amount=5.62900800, maker_side=buy, created_at=2018-06-05 00:32:03+00:00)
Trade(tid=7706696, price=0.00008730, amount=11.93918000, maker_side=buy, created_at=2018-06-05 00:39:23+00:00)
Trade(tid=7706700, price=0.00008730, amount=6.82164100, maker_side=buy, created_at=2018-06-05 00:39:27+00:00)
Trade(tid=7706704, price=0.00008730, amount=8.24429600, maker_side=buy, created_at=2018-06-05 00:39:31+00:00)
Trade(tid=7706708, price=0.00008730, amount=8.24354800, maker_side=buy, created_at=2018-06-05 00:39:35+00:00)
Trade(tid=7706711, price=0.00008730, amount=6.70425000, maker_side=buy, created_at=2018-06-05 00:39:40+00:00)
Trade(tid=7706716, price=0.00008730, amount=11.73238900, maker_side=buy, created_at=2018-06-05 00:39:45+00:00)
Trade(tid=7706717, price=0.00008730, amount=4.76071300, maker_side=buy, created_at=2018-06-05 00:39:48+00:00)
Trade(tid=7706728, price=0.00008730, amount=4.95602700, maker_side=buy, created_at=2018-06-05 00:39:57+00:00)
Trade(tid=7706731, price=0.00008730, amount=4.95602700, maker_side=buy, created_at=2018-06-05 00:40:01+00:00)
Trade(tid=7706734, price=0.00008730, amount=9.20394400, maker_side=buy, created_at=2018-06-05 00:40:08+00:00)
Trade(tid=7706738, price=0.00008730, amount=4.95677500, maker_side=buy, created_at=2018-06-05 00:40:14+00:00)
Trade(tid=7706743, price=0.00008730, amount=3.95402700, maker_side=buy, created_at=2018-06-05 00:40:21+00:00)
Trade(tid=7706746, price=0.00008730, amount=3.95402700, maker_side=buy, created_at=2018-06-05 00:40:25+00:00)
