Trade(tid=7706963, price=13.19, amount=86.07354700, maker_side=buy, created_at=2018-06-05 01:07:20+00:00)
Trade(tid=7706965, price=13.28, amount=11.00677711, maker_side=sell, created_at=2018-06-05 01:08:06+00:00)
Trade(tid=7706979, price=13.28, amount=26.95783166, maker_side=sell, created_at=2018-06-05 01:09:06+00:00)
Trade(tid=7706982, price=13.28, amount=11.04497758, maker_side=sell, created_at=2018-06-05 01:09:09+00:00)
Trade(tid=7706983, price=13.28, amount=0.00020342, maker_side=sell, created_at=2018-06-05 01:09:09+00:00)
Trade(tid=7706986, price=13.28, amount=512.04819300, maker_side=sell, created_at=2018-06-05 01:10:38+00:00)
Trade(tid=7706989, price=13.27, amount=0.93667600, maker_side=sell, created_at=2018-06-05 01:10:51+00:00)
Trade(tid=7706990, price=13.27, amount=0.00002300, maker_side=buy, created_at=2018-06-05 01:11:02+00:00)
Trade(tid=7706991, price=13.19, amount=283.06702600, maker_side=buy, created_at=2018-06-05 01:11:02+00:00)
Trade(tid=7706992, price=13.18, amount=3383.52786900, maker_side=buy, created_at=2018-06-05 01:11:02+00:00)
Trade(tid=7706993, price=13.18, amount=31.00000000, maker_side=buy, created_at=2018-06-05 01:11:49+00:00)
Trade(tid=7706998, price=13.20, amount=2.00000000, maker_side=buy, created_at=2018-06-05 01:12:04+00:00)
Trade(tid=7707013, price=13.28, amount=57.67414943, maker_side=sell, created_at=2018-06-05 01:13:14+00:00)
Trade(tid=7707014, price=13.28, amount=387.95160358, maker_side=sell, created_at=2018-06-05 01:13:14+00:00)
Trade(tid=7707042, price=13.28, amount=90.36144600, maker_side=sell, created_at=2018-06-05 01:15:58+00:00)
Trade(tid=7707043, price=13.21, amount=10.36789300, maker_side=buy, created_at=2018-06-05 01:16:03+00:00)
Trade(tid=7707053, price=13.27, amount=11.23215700, maker_side=buy, created_at=2018-06-05 01:17:50+00:00)
Trade(tid=7707054, price=13.28, amount=14.93222900, maker_side=sell, created_at=2018-06-05 01:17:54+00:00)
Trade(tid=7707063, price=13.27, amount=378.16981700, maker_side=buy, created_at=2018-06-05 01:18:46+00:00)
Trade(tid=7707064, price=13.27, amount=10.00000000, maker_side=buy, created_at=2018-06-05 01:19:24+00:00)
Trade(tid=7707068, price=13.28, amount=14.64006000, maker_side=sell, created_at=2018-06-05 01:20:01+00:00)
Trade(tid=7707083, price=13.28, amount=1720.39211557, maker_side=sell, created_at=2018-06-05 01:21:40+00:00)
Trade(tid=7707084, price=13.28, amount=50.00000000, maker_side=sell, created_at=2018-06-05 01:21:40+00:00)
Trade(tid=7707085, price=13.28, amount=980.00000000, maker_side=sell, created_at=2018-06-05 01:21:40+00:00)
Trade(tid=7707086, price=13.28, amount=37.65060300, maker_side=sell, created_at=2018-06-05 01:21:40+00:00)
Trade(tid=7707095, price=13.29, amount=826.93754703, maker_side=sell, created_at=2018-06-05 01:22:43+00:00)
Trade(tid=7707099, price=13.28, amount=4.00000000, maker_side=buy, created_at=2018-06-05 01:23:16+00:00)
Trade(tid=7707100, price=13.29, amount=209.53498900, maker_side=sell, created_at=2018-06-05 01:24:01+00:00)
Trade(tid=7707101, price=13.29, amount=604.16556180, maker_side=sell, created_at=2018-06-05 01:24:07+00:00)
Trade(tid=7707102, price=13.29, amount=17.66954400, maker_side=buy, created_at=2018-06-05 01:24:11+00:00)
Trade(tid=7707111, price=13.30, amount=5960.04299975, maker_side=sell, created_at=2018-06-05 01:24:41+00:00)
